KEY	영어	한국어	중국어(간체)
locale	en	ko	zh-Hans
			
AppDelegate:alertDiskFull	Not enough memory.\nPlease delete some of your data.	단말 저장 공간이 부족합니다.\n저장 공간을 확보한 후\n다시 시도해 주세요.	您的终端存储空间不足。\n请确保更多空间后重试。
			
ULocalStorage:systemName	My Document	내 문서	我的文件
			
UDrive:upfolder	Upper Folder	상위 폴더	上级文件夹
			
EPDFTocController:Table of Contents	Table of Contents	목차	目录
EPDFTocController:Contents None	No content.	항목 없음	没有目录
EPDFTocController:btnDone	Close	닫기	关闭
			
EViewDrawController:lblNoDrawingObject	Drawn object has not been found in the document.	문서 안에 포함된 드로잉 객체가 없습니다.	文件内没有图形对象！
			
evEnginePL:addSubTitle	Enter a subtitle.	부제목을 입력해 주세요.	请输入副标题
evEnginePL:addText	Enter text.	텍스트를 입력해 주세요.	请输入文本
evEnginePL:addTitle	Enter a title.	제목을 입력해 주세요.	请输入标题
			
FWebView:close	Close	닫기	关闭
FWebView:btnShowAgain	Do not show this again	다시 보지 않기	不再提示
			
PopWebView:close	Close	닫기	关闭
PopWebView:btnShowAgain	Do not show this again	다시 보지 않기	不再提示
			
PopMyImage:btnTakePicture	Take a picture	사진 촬영	照相
PopMyImage:btnCameraRoll	Camera Roll	카메라 롤	相机胶卷
PopMyImage:btnCancel	Cancel	취소	取消
			
FTemplateVC:btnBack	Back	이전	返回
FTemplateVC:btnClose	Close	닫기	关闭
FTemplateVC:lblTitle	Select Template	템플릿 선택	选择模板
FTemplateVC:lblEmpty	Blank	Blank	空白
			
FSettingMain:lblTitle	Settings	설정	设置
FSettingMain:btnConfirm	Done	완료	完成
FSettingMain:btnDone	Close	닫기	关闭
FSettingMain:lblTransfer	Transfer File	파일 전송	发送文件
FSettingMain:btnTransfer	Transfer File	파일 전송	发送文件
FSettingMain:btnSaveOrNot	Confirm Save	저장 여부 확인	确认保存状态
FSettingMain:btnExtention	Show Extensions	확장자 보이기	显示扩展名
FSettingMain:btnMode	Basic Mode	문서 기본 모드	文件常规模式
FSettingMain:btnAutoRestore	Auto Recovery	자동 복구	自动修复
FSettingMain:btnShowGuide	Show Guidelines	가이드 보이기	显示向导
FSettingMain:btnType	New Document Type	새 문서 형식	新建文件格式
FSettingMain:btnCellular	Use Cellular Data	셀룰러 데이터 사용	使用蜂窝移动数据
FSettingMain:lblCellular	Use cellular data to synchronize files\nif a Wi-Fi network is not available.	파일 동기화 시 Wi-Fi가 연결되지 않은 경우\n셀룰러 데이터를 사용하여 동기화합니다.	同步文件时没有连接 Wi-Fi，则会使用蜂窝移动数据进行同步。
FSettingMain:lblInfo	Product Information	Polaris Office 정보	Polaris Office 信息
FSettingMain:lblLinkInfo	Polaris Office Information	Polaris Office 정보	Polaris Office 信息
FSettingMain:btnNoti	Notice	공지사항	公告
FSettingMain:btnFAQ	FAQ	FAQ	常见问题解答
FSettingMain:btnSupport	Customer Support	고객센터	用户支持
FSettingMain:btnAbout	v%@ (build %@)	v%@ (build %@)	v%@ (build %@)
FSettingMain:btnEULA	EULA	EULA	最终用户许可协议
FSettingMain:btnCopyright	Copyright	Copyright	版权声明
FSettingMain:btnTransfer	File Transfer	파일 전송	发送文件
FSettingMain:lblCloud	Polaris Office	Polaris Office	Polaris Office
FSettingMain:lblCloudSetting	Polaris Office Settings	Polaris Office 설정	Polaris Office 设置
FSettingMain:lblSetting	General Settings	일반 설정	常规设置
FSettingMain:btnUsageDrive	Cloud Space	클라우드 공간	云盘空间
FSettingMain:btnAutoSync	Auto Synchronization	자동 동기화	自动同步
FSettingMain:btnEmptyTrash	Empty Trashbox	휴지통 비우기	清空回收站
FSettingMain:btnUpgrade	Upgrade Account	계정 업그레이드	升级账户
FSettingMain:btnPremium	Service Introduction	서비스 소개	业务介绍
FSettingMain:btnLogout	Sign Out	로그아웃	注销
FSettingMain:lblEditPicture	EDIT	편집	编辑
FSettingMain:btnBack	Settings	설정	设置
FSettingMain:usageText	Turn Off	사용 안함	不使用
FSettingMain:on	Enable	켬	开启
FSettingMain:off	Disable	끔	关闭
FSettingMain:logout	Do you want to sign out?	로그아웃 하시겠습니까?	确定要注销吗？
FSettingMain:logoutnonsync	Unsynchronized files wil be deleted if you sign out now. \n Do you still want to sign out?	아직 동기화되지 않은 문서가 있습니다.\n로그아웃을 하실 경우 해당문서는 삭제됩니다.\n로그아웃 하시겠습니까?	还有未同步的文件。\n退出登录时，将会被删除。\n要退出登录吗？
FSettingMain:deletetrash	Do you want to permanently delete all the items in Trashbox?	휴지통의 모든 항목을 영구적으로 삭제하시겠습니까?	要永久删除回收站内所有文件吗？
FSettingMain:btnContacts	Manage Address Book	주소록 관리	管理通讯录
FSettingMain:btnInitContact.login	Logged in at %@	%@에 로그인	%@ 登录
FSettingMain:btnInitContact.sync	Address book last synchronized at %@	%@에 주소록 동기화	%@ 同步通讯录
FSettingMain:btnInitContact.login.dateformat	HH:mm, yyyy-MM-dd.	yyyy.MM.dd HH:mm	yyyy-MM-dd HH:mm
FSettingMain:btnInitContact.sync.dateformat	HH:mm, yyyy-MM-dd.	yyyy.MM.dd HH:mm	yyyy-MM-dd HH:mm
FSettingMain:lblInfoIntro	Product Introduction	제품 안내 및 소개하기	产品介绍
FSettingMain:btnInquiry	Customer Support	고객센터	用户中心
FSettingMain:lblIntro	Introduction	소개하기	介绍
FSettingMain:share.facebook.body	I wanted to invite you to try Polaris Office. \nPOLARIS Office is a free office app that allows you to easily create, share, and edit documents anytime and anywhere. Sign up with the link I've sent you and you'll receive additional cloud storage.	Polaris Office를 사용해보니 Microsoft Office 문서를 자주 사용하시는 분께는 정말 필요한 것 같아요. 무료 오피스니까 문서 작업 많이 하시는 분들은 이 링크를 통해서 가입하시고 보너스 용량도 받아보세요.	Polaris Office 对经常使用 Microsoft Office 文件的人来说，是必备工具。点击这个链接注册后，还能获得更多容量。
FSettingMain:share.twitter.body	Polaris Office is a free office app great for creating and editing Microsoft Office documents. Sign up today to get FREE additional storage.	Polaris Office를 사용해보니 Microsoft Office문서를 사용하시는 분께 정말 필요할 것 같아요. 무료로 가입해 보시고 보너스 용량도 받아보세요.	Polaris Office 对经常使用 Microsoft Office 文件的人来说，是必备工具。点击这个链接注册后，还能获得更多容量。
FSettingMain:share.email.title	%@ has invited you to Polaris Office.	%@님이 Polaris Office 사용을 추천하였습니다.	%@<%@> 向您推荐 Polaris Office
FSettingMain:share.email.body	Hi! This is %@.\n\n I wanted to invite you to try Polaris Office. \n\nPOLARIS Office is a free office app that allows you to easily create, share, and edit documents anytime and anywhere. Sign up with the link I've sent you and you'll even receive additional storage. \n\n%@	안녕하세요. %@ 입니다.\n\nPolaris Office를 사용해보니 Microsoft Office 문서를 자주 사용하시는 분께는 정말 필요한 것 같아요. 제 주변 사람들이 많이 사용해서 저도 사용하고 있는데, 제 주소록 목록을 보니 아직 사용하지 않고 계신가봐요?\n\nPolaris Office는 문서를 어디서나 편집하고 쉽게 공유할 수 있는 무료 오피스인데, 문서 작업 많이 하시니까 제가 보낸 링크를 통해서 가입하시고 보너스 용량도 받아보세요.\n\n%@\n\n상단의 링크를 클릭하여 가입한 뒤 이메일 인증을 완료하면 추가 용량이 제공됩니다.	您好，我是%@。\n\n我认为对经常使用 Microsoft Office 文件的人来说，Polaris Office 是一个非常有用的工具。我周边有很多人都在用，我在联系人列表上发现您好像还没有使用 Polaris Office。\nPolaris Office 是可随时随地编辑文件、共享文件的免费 Office，您平时经常处理很多文件，通过我给您发送的链接注册后还能拿到赠送的存储空间。\n\n%@\n\n点击上方链接进行注册后，完成电子邮件地址验证，即可获赠额外的存储空间。
